url;vendor;flows;percents;
activity.windows.com;Microsoft;4131;0.9849785407725322;
enttemplates.content.office.net;Microsoft;5501;1.0;
p37-keyvalueservice.icloud.com;Apple;1659;0.9993975903614458;
otf.msn.com;Microsoft;12604;0.9920503738685557;
gfwsl.geforce.com;Microsoft;3071;0.996754300551769;
settings.data.microsoft.com;Microsoft;1782;0.9944196428571429;
api.samsungcloud.com;Google;5022;0.9980127186009539;
p32-keyvalueservice.icloud.com;Apple;2526;1.0;
licensing.mp.microsoft.com;Microsoft;14605;0.9978819349549057;
at.atwola.com;Microsoft;2363;0.9911912751677853;
up.cm.ksmobile.com;Google;2209;0.9995475113122172;
cloudconfig.googleapis.com;Google;4033;0.9652943992340833;
displaycatalog.mp.microsoft.com;Microsoft;1808;0.9966923925027563;
portal.fb.com;Google;48695;0.958034941370898;
p29-keyvalueservice.icloud.com;Apple;1655;1.0;
media.pathcdn.net;Apple;1263;1.0;
p36-keyvalueservice.icloud.com;Apple;1903;0.9963350785340314;
alt5-mtalk.google.com;Google;1065;0.9870250231696015;
01-prod.do.dsp.mp.microsoft.com;Microsoft;30328;0.9991434407326876;
p02-mailws.icloud.com;Apple;5221;1.0;
mini5.opera-mini.net;Google;1516;0.9856957087126138;
redirector.googlevideo.com;Google;7777;0.9577586206896552;
www.bizographics.com;Microsoft;3329;0.9546888442787497;
connectivitycheck.android.com;Google;48235;0.9996891191709845;
xp.apple.com;Apple;19619;0.99735651466626;
webdav.facebook.com;Apple;2903;0.9996556473829201;
p19-keyvalueservice.icloud.com;Apple;1448;1.0;
p32-btmmdns.icloud.com;Apple;1051;1.0;
2.dl.delivery.mp.microsoft.com;Microsoft;3436;0.998546934030805;
e-service.weather.microsoft.com;Microsoft;18009;0.9982815964523282;
ui.ff.avast.com:80;Google;9400;0.9789627161008123;
query.hicloud.com:80;Google;1086;0.9845874886672711;
www.apple.com;Apple;4140;0.9623430962343096;
su.itunes.apple.com;Apple;1138;0.9964973730297724;
p20-keyvalueservice.icloud.com;Apple;1670;0.9988038277511961;
gsp64-ssl.ls.apple.com;Apple;11483;0.9993038029762423;
p40-keyvalueservice.icloud.com;Apple;1629;0.9914790018259282;
img-s-msn-com.akamaized.net;Microsoft;29326;0.9975169223442975;
ecn.dev.virtualearth.net;Microsoft;2150;0.9930715935334873;
proxy.googlezip.net;Google;2968;0.9983181971072991;
mesu.apple.com;Apple;10071;0.9987108290360968;
api.sec.miui.com;Google;4264;0.9653611048222775;
ext-services.apps.microsoft.com;Microsoft;1068;1.0;
www.msftncsi.com;Microsoft;10880;0.9921575779682655;
level3.blizzard.com;Microsoft;3045;0.964828897338403;
www.feelinsonice.com;Apple;2462;1.0;
9---sn-2gb7ln7d.googlevideo.com;Apple;1491;0.970703125;
p13-ckdatabase.icloud.com;Apple;1142;1.0;
lithium.facebook.com;Google;2458;0.98714859437751;
u.b1.download.windowsupdate.com;Microsoft;1072;1.0;
ca0.opera-proxy.net;Microsoft;1332;1.0;
oodanddrink.tile.appex.bing.com;Microsoft;3480;0.9991386735572783;
officecdn.microsoft.com;Microsoft;2986;0.9691658552418047;
api.slovnik.seznam.cz;Microsoft;2271;0.9925699300699301;
dm2306.storage.live.com;Microsoft;1302;0.9954128440366973;
gllto.glpals.com;Google;2390;0.987603305785124;
mtalk4.google.com;Google;25012;0.9767641660483461;
arc.msn.com;Microsoft;10095;0.998220112726194;
p33-btmmdns.icloud.com;Apple;1146;1.0;
search.itunes.apple.com;Apple;1749;1.0;
p16-keyvalueservice.icloud.com;Apple;1062;1.0;
fsr.lenovomm.com;Google;1268;0.9821843532145623;
ads.scorecardresearch.com;Microsoft;2013;0.9617773530817009;
84E00-0F767.api.pushwoosh.com;Google;1985;0.9673489278752436;
courier.sandbox.push.apple.com;Apple;4095;0.9985369422092173;
blzddist1-a.akamaihd.net;Microsoft;5478;0.9608840554288721;
sdkconfig.ad.xiaomi.com;Google;1774;0.9955106621773289;
cl4.apple.com;Apple;2204;0.99909338168631;
bn2ap002.device.ra.live.com;Microsoft;4673;0.9970130147215703;
pd-st.itunes.apple.com;Apple;1932;0.9797160243407708;
dmd.metaservices.microsoft.com;Microsoft;2117;0.9962352941176471;
config.ioam.de;Google;1334;0.9744338933528123;
decide.mixpanel.com;Google;6523;0.9692421991084695;
galleryapi.micloud.xiaomi.net;Google;3153;0.9810205351586808;
snaptu-mini.facebook.com;Google;1707;0.9557670772676372;
api.ad.xiaomi.com;Google;2418;0.9954713874022232;
alt6-mtalk.google.com;Google;1124;0.9765421372719374;
p53-ckdatabase.icloud.com;Apple;1014;0.9912023460410557;
gspe21.ls.apple.com;Apple;1033;1.0;
sv.symcd.com;Microsoft;1260;0.9992069785884219;
init-p01st.push.apple.com;Apple;23535;0.9803390677718998;
p31-keyvalueservice.icloud.com;Apple;1975;0.9989883662114315;
urlauth.ksmobile.net;Google;1326;0.9866071428571429;
o.aolcdn.com;Microsoft;1966;0.9694280078895463;
liveupdate01s.asus.com;Microsoft;4087;0.9869596715769138;
p42-keyvalueservice.icloud.com;Apple;1135;1.0;
filedownload.lenovo.com;Microsoft;2194;0.9990892531876139;
events.gfe.nvidia.com;Microsoft;2843;0.9916288803627485;
iecvlist.microsoft.com;Microsoft;1588;0.986335403726708;
supl.google.com;Google;1099;1.0;
eu-west-1.dc.ads.linkedin.com;Microsoft;4036;0.9650884744141559;
init.gc.apple.com;Apple;1260;1.0;
api.stathat.com;Microsoft;2385;0.99375;
www-c1810.cloud.acer.com;Microsoft;2687;0.9937130177514792;
update.eset.com;Microsoft;1152;0.9965397923875432;
sadownload.mcafee.com;Microsoft;1252;0.9960222752585521;
iphone-ld.apple.com;Apple;3230;0.9987631416202845;
3.dl.delivery.mp.microsoft.com;Microsoft;6351;1.0;
b-www.facebook.com;Google;1337;0.9859882005899705;
service.gc.apple.com;Apple;2629;1.0;
ups.ksmobile.net;Google;3759;0.9910361191668864;
dev.virtualearth.net;Microsoft;1333;0.9881393624907339;
p53-keyvalueservice.icloud.com;Apple;2925;1.0;
update.iobit.com;Microsoft;1859;1.0;
p09-keyvalueservice.icloud.com;Apple;4658;1.0;
p15-keyvalueservice.icloud.com;Apple;3699;1.0;
service.weather.microsoft.com;Microsoft;6405;0.993485342019544;
ocsp.msocsp.com;Microsoft;4339;0.985017026106697;
taskassist-pa.googleapis.com;Google;1652;0.9880382775119617;
goupdate.3g.cn;Google;1760;0.9943502824858758;
a0.app.xiaomi.com;Google;1267;0.996852871754524;
weatherapi.market.xiaomi.com;Google;1584;0.9987389659520807;
p49-keyvalueservice.icloud.com;Apple;1317;0.9969719909159728;
p38-keyvalueservice.icloud.com;Apple;2834;0.9964838255977496;
gs-loc.apple.com;Apple;28323;0.9994001411432604;
p39-keyvalueservice.icloud.com;Apple;1350;1.0;
gspe35-ssl.ls.apple.com;Apple;3105;1.0;
webadvisorc.rest.gti.mcafee.com;Microsoft;2288;1.0;
etxl-edge.icloud-content.com:80;Apple;1295;0.9885496183206107;
photos.googleapis.com;Apple;2554;1.0;
i4.c.eset.com:80;Microsoft;1344;0.9838945827232797;
clientservices.googleapis.com;Google;8642;0.963755994200959;
oss-content.securestudies.com;Microsoft;4066;1.0;
p18-keyvalueservice.icloud.com;Apple;1255;1.0;
ervicesupport2.hicloud.com:8080;Google;5993;1.0;
s.browserapi.micloud.xiaomi.net;Google;2457;0.999593165174939;
icc.blackberry.com;Other;1711;0.9716070414537195;
ssdk.adkmob.com;Google;1109;0.9955116696588869;
data.mistat.xiaomi.com;Google;15401;0.9940618343768154;
skydrive.wns.windows.com;Microsoft;3527;0.9694887300714679;
settings-win.data.microsoft.com;Microsoft;15071;0.9975509663754303;
cdn.onenote.net;Microsoft;11863;0.9965557795698925;
c.urs.microsoft.com;Microsoft;1580;0.9974747474747475;
datasaver.googleapis.com;Google;1046;0.9849340866290018;
ctldl.windowsupdate.com;Microsoft;19471;0.9976430803914536;
helpnewsrepublic1.ksmobile.com;Google;10845;0.9985268391492496;
p41-keyvalueservice.icloud.com;Apple;1774;0.9988738738738738;
windows.policies.live.net;Microsoft;2973;0.9979859013091642;
p50-ckdevice.icloud.com;Apple;5326;1.0;
hub.samsungapps.com;Google;1839;0.998371335504886;
pks.a.mobimagic.com;Google;1193;0.9958263772954925;
store-images.s-microsoft.com;Microsoft;1689;0.9941141848145968;
graph.accountkit.com;Google;2056;0.9966068831798351;
pd-nk.itunes.apple.com;Apple;2065;0.9875657580105213;
sci2-1.am.microsoft.com;Microsoft;8821;0.9964979665612291;
sp.cwfservice.net;Microsoft;1961;0.9556530214424951;
sstats.adobe.com;Microsoft;1247;0.9570222563315426;
inference.location.live.net;Microsoft;3360;0.9902740937223696;
us.sfsapi.micloud.xiaomi.net;Google;1753;1.0;
cmdts.ksmobile.com;Google;6048;0.9846955389124064;
pancake.apple.com;Apple;4210;0.9992879183479706;
p32-ckdatabase.icloud.com;Apple;1503;0.998671096345515;
fe2.update.microsoft.com;Microsoft;11928;0.9976580796252927;
eo-prod.do.dsp.mp.microsoft.com;Microsoft;4274;0.9985981308411215;
80.188.78.188;Microsoft;1540;0.9852847088931542;
play.itunes.apple.com;Apple;8097;0.9942288801571709;
bn1304.storage.live.com;Microsoft;1566;0.9961832061068703;
infoc2.duba.net;Google;5657;0.9870877682777874;
query.ess.apple.com;Apple;1490;1.0;
ocsp.verisign.com;Microsoft;1969;0.9929399899142713;
go.microsoft.com;Microsoft;22673;0.991646256123163;
dl.delivery.mp.microsoft.com;Microsoft;3957;0.9997473471450228;
img.s-msn.com;Microsoft;1647;0.9981818181818182;
browserapi.micloud.xiaomi.net;Google;1110;1.0;
api.accuweather.com;Google;44223;0.97949013267182;
gspe1-ssl.ls.apple.com;Apple;13745;0.9993456449033009;
playatoms-pa.googleapis.com;Google;1101;0.9981867633726201;
p13-keyvalueservice.icloud.com;Apple;1405;1.0;
courier.push.apple.com;Apple;68017;0.9781411334972748;
apple.imap.mail.yahoo.com;Apple;1564;1.0;
finance.services.appex.bing.com;Microsoft;2639;0.9988644965934897;
cdf-anon.xboxlive.com;Microsoft;1277;0.9984362783424551;
autoupdate.geo.opera.com;Microsoft;1297;0.979607250755287;
s.galleryapi.micloud.xiaomi.net;Google;4551;0.9962784588441331;
cdn.at.atwola.com;Microsoft;1226;0.9737887212073074;
alt7-mtalk.google.com;Google;1069;0.9735883424408015;
huawei2.accu-weather.com;Google;2313;0.9987046632124352;
sls.update.microsoft.com;Microsoft;10720;0.9985096870342772;
guzzoni.apple.com;Apple;7811;0.9991046303402404;
uib.ff.avast.com;Microsoft;9988;0.9787359137677609;
update.miui.com;Google;2467;0.9832602630530092;
oem.twimg.com;Microsoft;9512;0.998320738874895;
c.s-microsoft.com;Microsoft;1108;0.9787985865724381;
asrvvv-a.akamaihd.net;Microsoft;1021;0.9980449657869013;
services.gfe.nvidia.com;Microsoft;1664;0.9970041941282205;
p24-keyvalueservice.icloud.com;Apple;1349;1.0;
notify.seznam.cz;Microsoft;5132;0.991499227202473;
download.lenovo.com;Microsoft;1882;0.9984084880636604;
p21-ckdatabase.icloud.com;Apple;1950;0.9948979591836735;
cz-odc.samsungapps.com;Google;1093;0.9981735159817352;
dm2304.storage.live.com;Microsoft;1072;0.9871086556169429;
